PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_18_OverTax_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated tax or have a Super AP user edit the tax on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_21_OverShipping_Exception_Definition,30-07-2018,Shipping charges on invoice line is more than that on Order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_21_OverShipping_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated shipping charges or have a Super AP user edit the shipping charges on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_24_OverCharges_Exception_Definition,30-07-2018,Other charges on invoice line is more than that on Order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_24_OverCharges_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated Other charges or have a Super AP user edit the Other charges on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_27_OverTotalAmount_Exception_Definition,30-07-2018,Total value summed across all invoices is more than that on order (after considering tolerance). It is a header level exception.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_27_OverTotalAmount_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated total amount or have a Super AP user edit the total amount on this invoice & re-trigger matching. Alternatively, create an IR such that a change order with the updated total amount is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_29_UnmatchedUOM_Exception_Definition,30-07-2018,UOM of a line(s) on invoice is different from that on Order.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_29_UnmatchedUOM_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated UOM or update the Invoice/IR with an appropriate Conversion Factor. The matching happens based on the conversion factor and the IR is then sent for acceptance and approval."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_38_NonPOException_Exception_Definition,30-07-2018,This exception is raised when an invoice doesn’t have a corresponding Order tagged to it.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_38_NonPOException_Exception_Resolution,30-07-2018,"To resolve this exception, create an IR. An Order corresponding to this IR is automatically created when the IR is accepted and approved. Alternatively, you can associate an Order to the IR during the IR acceptance and do mapping lines & re-triggering matching. After matching, send the identified exceptions for acceptance. When the IR is accepted and approved, the invoice gets into the Matched status."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_39_ItemMismatch_Exception_Definition,30-07-2018,This invoice line is not available on the order
0.GEP.Cumulus.P2P.Resources.en-US,P2P_39_ItemMismatch_Exception_Resolution,30-07-2018,This exception is resolved when a user creates an IR where he/she can change the line mapping & re-trigger matching or when a user submits the IR for acceptance directly. Once the IR is accepted & approved by assigned resolver & approver respectively a change order with new line updated on it get created automatically.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_40_Blocked_Exception_Definition,30-07-2018,When supplier is in ‘Blocked’ status then invoices goes in this exception. It is a header level exception.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_40_Blocked_Exception_Resolution,30-07-2018,"To resolve this exception, update the status of the supplier and re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_42_ApprovalRequiredException_Exception_Definition,30-07-2018,This exception is raised as per the rule setup.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_42_ApprovalRequiredException_Exception_Resolution,30-07-2018,"This exception is automatically resolved when, based on the set rules, the IR is sent and approved by the approver."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_56_MissingReceiptException_Exception_Definition,30-07-2018,The PO line has not been received.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_56_MissingReceiptException_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a receipt for the PO line. Alternatively, create an IR such that a receipt is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_57_OverQuantityReceipt_Exception_Definition,30-07-2018,The total invoiced quantity on a line is more than the total accepted receipt quantity.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_57_OverQuantityReceipt_Exception_Resolution,30-07-2018,"To resolve this exception, either create a receipt for the remaining quantity or create an IR. The IR, when accepted and approved by the resolver and approver, automatically creates a receipt."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_58_OverQuantityOrder_Exception_Definition,30-07-2018,The total invoiced quantity on a line is more than the ordered quantity (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_58_OverQuantityOrder_Exception_Resolution,30-07-2018,"To resolve this exception, either create a change order with the updated quantity/effort or create an IR. The IR, when accepted and approved, automatically creates the change order with the updated quantity/effort."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_59_DateBlockException_Exception_Definition,30-07-2018,Service End Date on invoice service line is less than Invoice Creation Date.
